text	date	name
ger000384	1814	Libussa
ger000384	1814	Drzewoslaus
ger000384	1814	Domaslaus
ger000384	1814	Wrschowetz
ger000384	1814	Wrsch
ger000384	1814	Druhan
ger000384	1814	Moribud
ger000384	1814	Stiason
ger000384	1814	Rozhon
ger000384	1814	Chirch
ger000384	1814	Milenka
ger000384	1814	Zastawa
ger000384	1814	Dobrowka
ger000384	1814	Hodka
ger000384	1814	Budeslawka
ger000384	1814	Klimbogna
ger000384	1814	Dobromila
ger000384	1814	Mladka
ger000384	1814	Nabka
ger000384	1814	Swatawa
ger000384	1814	Radka
ger000384	1814	Wastil
ger000384	1814	Howor
ger000384	1814	Milick
ger000384	1814	Poplopeck
ger000384	1814	Schriben
ger000384	1814	Chobol
ger000384	1814	Siebenter
ger000045	1844	Fräulein von Sonnsfeld
ger000045	1844	Eversmann
ger000045	1844	Wilhelmine
ger000045	1844	Erbprinz
ger000045	1844	Königin
ger000045	1844	König
ger000045	1844	Grumbkow
ger000045	1844	Seckendorf
ger000045	1844	Lakai
ger000045	1844	Hotham
ger000045	1844	Kamke
ger000045	1844	Eckhof
ger000045	1844	Graf Schwerin
ger000045	1844	Graf Wartensleben
ger000045	1844	Frau von Viereck
ger000045	1844	Frau von Holzendorf
ger000310	1904	Urgrossmutter
ger000310	1904	Manella
ger000310	1904	Constantin
ger000636	1812	Suschen
ger000636	1812	Goldangel
ger000636	1812	Stoffel
ger000159	1911	Spielansager
ger000159	1911	Gott der Herr
ger000159	1911	Gott
ger000159	1911	Jedermann
ger000159	1911	Koch
ger000159	1911	Gesell
ger000159	1911	Armer Nachbar
ger000159	1911	Schuldknecht
ger000159	1911	Schuldknechts Weib
ger000159	1911	Jedermanns Mutter
ger000159	1911	Buhlschaft
ger000159	1911	Vorsänger
ger000159	1911	Dicker Vetter
ger000159	1911	Dünner Vetter
ger000159	1911	Magerer Vetter
ger000159	1911	Hausvogt
ger000159	1911	Knecht
ger000159	1911	Knecht
ger000159	1911	Teufel
ger000490	1796	Elvira
ger000490	1796	Valverde
ger000490	1796	Pizarro
ger000490	1796	Diego
ger000490	1796	Las Casas
ger000490	1796	Almagro
ger000490	1796	Gonzalo
ger000490	1796	Gomez
ger000490	1796	Davila
ger000490	1796	Cora
ger000490	1796	Alonzo
ger000490	1796	Rolla
ger000490	1796	Ataliba
ger000490	1796	Greis
ger000490	1796	Knabe
ger000490	1796	Xuliqua
ger000490	1796	Wachsoldat 
ger000490	1796	Höfling 
ger000204	1835	Kern
ger000204	1835	Weinhold
ger000204	1835	Zunder
ger000204	1835	Annchen
ger000204	1835	Wirth
ger000204	1835	Wagner
ger000204	1835	Nase
ger000204	1835	Murrner
ger000204	1835	Fausts Vater
ger000204	1835	Faust
ger000204	1835	Mephistopheles
ger000204	1835	Aus der Ferne
ger000204	1835	Zwitsch
ger000204	1835	Cosmo
ger000204	1835	Graf Robert
ger000204	1835	Bianca
ger000204	1835	Crabe
ger000204	1835	Dujour
ger000204	1835	Le Doigt
ger000204	1835	Appeau
ger000204	1835	Pater Anselmo
ger000204	1835	Kaiser Karl der Fünfte
ger000204	1835	Rosa
ger000204	1835	Juanito
ger000663	1779	Herr Sternfreund
ger000663	1779	Mamsell Steel
ger000663	1779	Herr Kehlhammer
ger000663	1779	Herr Klesch
ger000663	1779	Herr Pilster
ger000663	1779	Mamsell Frisch
ger000663	1779	Herr von Flieh
ger000479	1808	Kleon
ger000479	1808	Lysikrates
ger000479	1808	Epizelus
ger000479	1808	Xanthippus
ger000479	1808	Miltiades
ger000479	1808	Elpinice
ger000479	1808	Cimon
ger000479	1808	Aristides
ger000479	1808	Themistokles
ger000479	1808	Demosthenes
ger000479	1808	Aeschylus
ger000479	1808	Philippus
