text	frequency	labels
Aab	116	['Rufname']
Aach	38	['Wohnstätte']
Aagten	11	['Rufname']
Aal	63	['Beruf', 'Wohnstätte', 'Rufname', 'Herkunft']
Aalbers	30	['Rufname']
Aalberts	11	['Rufname']
Aandekerk	2	['Wohnstätte']
Aarents	2	['Rufname']
Aarns	17	['Rufname']
Aaron	14	['Rufname']
Abaci	40	['Beruf']
Abali	27	['Übername']
Abas	31	['Rufname', 'Herkunft']
Abasiz	13	['Übername']
Abatzidis	8	['Beruf']
Abatzidou	1	['Beruf']
Abatzis	16	['Beruf']
Abatzoglou	3	['Beruf']
Abay	56	['Rufname', 'Rufnamenmuster', 'Herkunft']
Abb	122	['Rufname']
Abbas	262	['Rufname', 'Übername']
Abbasi	47	['Rufname']
Abbe	69	['Rufname']
Abbel	31	['Rufname']
Abben	25	['Rufname']
Abbenzeller	5	['Herkunft']
Abbes	32	['Rufname', 'Übername']
Abbetmeier	9	['Beruf']
Abbetmeyer	12	['Beruf']
Abbing	227	['Rufname']
Abbink	26	['Rufname']
Abbold	4	['Rufname']
Abbott	30	['Übername']
Abbrecht	12	['Rufname']
Abbruzzese	29	['Herkunft']
Abbruzzesi	3	['Herkunft']
Abbruzzi	2	['Herkunft']
Abbruzzino	5	['Herkunft']
Abbruzzo	4	['Herkunft']
Abbt	24	['Übername']
Abbühl	11	['Wohnstätte']
Abdalla	84	['Rufname']
Abdallah	169	['Rufname']
Abdalrahman	3	['Rufname']
Abdel-Karim	8	['Rufname']
Abdelaziz	19	['Rufname']
Abdelhamid	15	['Rufname']
Abdelkader	46	['Rufname']
Abdelkarim	8	['Rufname']
Abdella	3	['Rufname']
Abdellah	12	['Rufname']
Abdellatif	12	['Rufname']
Abdelrahman	14	['Rufname']
Abderrahman	12	['Rufname']
Abderrahmane	15	['Rufname']
Abdul-Karim	12	['Rufname']
Abdulaziz	11	['Rufname']
Abdulhamid	6	['Rufname']
Abdulkader	14	['Rufname']
Abdulkadir	31	['Rufname']
Abdulkarim	12	['Rufname']
Abdulla	32	['Rufname']
Abdullah	171	['Rufname']
Abdullatif	6	['Rufname']
Abdulrahman	31	['Rufname']
Abdurahman	16	['Rufname']
Abdurrahman	50	['Rufname']
Abe	360	['Rufname', 'Herkunft']
Abel	4539	['Rufname', 'Herkunft']
Abele	1760	['Rufname']
Abelein	101	['Rufname']
Abelen	32	['Rufname']
Abeles	3	['Rufname']
Abelhans	11	['Rufname']
Abeling	234	['Rufname']
Abelius	13	['Rufname']
Abelmann	168	['Rufname']
Abeln	589	['Rufname']
Abels	1277	['Rufname']
Abelt	70	['Rufname']
Aben	49	['Rufname']
Abend	469	['Wohnstätte', 'Übername', 'Rufname', 'Herkunft']
Abendrot	22	['Wohnstätte', 'Herkunft', 'Übername', 'Rufname']
Abendroth	694	['Wohnstätte', 'Herkunft', 'Übername', 'Rufname']
Abendschein	139	['Wohnstätte', 'Übername']
Aber	32	['Rufname']
Aberham	13	['Rufname']
Aberl	35	['Rufname']
Aberle	833	['Rufname']
Aberlein	3	['Rufname']
Aberli	1	['Rufname']
Abert	321	['Rufname']
Aberth	5	['Rufname']
Abitz	90	['Rufname', 'Herkunft']
Abitzsch	55	['Rufname', 'Herkunft']
Abke	110	['Rufname']
Abkemeier	5	['Beruf']
Abkemeyer	18	['Beruf']
Abken	53	['Rufname']
Abl	26	['Rufname']
Ablas	22	['Wohnstätte']
Ablass	32	['Wohnstätte']
Ablasser	9	['Wohnstätte']
Ablassmaier	1	['Beruf']
Ablassmeier	5	['Beruf']
Ablassmeir	2	['Beruf']
Ablaß	32	['Wohnstätte', 'Herkunft']
Ablaßmaier	2	['Beruf']
Ablaßmayer	2	['Beruf']
Ablaßmeier	37	['Beruf']
Ablaßmeir	3	['Beruf']
Able	87	['Rufname']
Ableiter	29	['Wohnstätte', 'Herkunft']
Ableitner	104	['Herkunft', 'Wohnstätte']
Ablhans	1	['Rufname']
Abmaier	6	['Beruf']
Abmair	5	['Beruf']
Abmayr	12	['Beruf']
Abmeier	28	['Beruf']
Abmeyer	18	['Beruf']
Abold	85	['Rufname']
Abraham	2447	['Rufname', 'Herkunft']
Abrahamczik	24	['Rufname']
Abrahamczyk	10	['Rufname']
Abrahams	193	['Rufname']
Abrahamsen	12	['Rufname']
Abrahamsohn	1	['Rufname']
Abrahamson	11	['Rufname']
Abrahm	3	['Rufname']
Abrahms	10	['Rufname']
Abraitis	2	['Rufname']
Abram	368	['Rufname', 'Herkunft']
Abramait	3	['Rufname']
Abramcik	1	['Rufname']
Abramczick	1	['Rufname']
Abramczik	6	['Rufname']
Abramczyk	29	['Rufname']
Abrameit	2	['Rufname']
Abramek	15	['Rufname']
Abramenko	14	['Rufname']
Abramic	3	['Rufname']
Abrammeck	1	['Rufname']
Abramov	66	['Rufname']
Abramova	18	['Rufname']
Abramovic	36	['Rufname']
Abramovich	5	['Rufname']
Abramovitch	7	['Rufname']
Abramovski	6	['Herkunft', 'Rufname']
Abramovych	4	['Rufname']
Abramow	30	['Rufname']
Abramowa	3	['Rufname']
Abramowicz	23	['Rufname']
Abramowitsch	9	['Rufname']
Abramowitz	3	['Rufname']
Abramowski	235	['Herkunft', 'Rufname']
Abramowsky	23	['Herkunft', 'Rufname']
Abramsen	15	['Rufname']
Abramski	14	['Rufname', 'Herkunft']
Abramsky	2	['Rufname', 'Herkunft']
Abramsohn	5	['Rufname']
Abramson	12	['Rufname']
Abramzik	33	['Rufname']
Abrat	28	['Rufname']
Abrath	8	['Rufname']
Abratis	61	['Rufname']
Abrats	2	['Rufname']
Abraytis	3	['Rufname']
Abrecht	43	['Rufname']
Abrell	167	['Übername']
Abrill	12	['Übername']
Abrodat	13	['Rufname']
Abrokat	11	['Rufname']
Abrolat	63	['Rufname']
Abrolath	12	['Rufname']
Abromat	1	['Rufname']
Abromeit	225	['Rufname']
Abromeitis	1	['Rufname']
Abrotat	16	['Rufname']
Abroteit	1	['Rufname']
Abrutat	8	['Rufname']
Abruzzese	9	['Herkunft']
Abruzzi	1	['Herkunft']
Abruzzo	6	['Herkunft']
Abröll	47	['Übername']
Abs	136	['Übername', 'Rufname']
Absalon	53	['Rufname', 'Übername']
Absenger	26	['Beruf']
Absmaier	21	['Beruf']
Absmayer	4	['Beruf']
Absmayr	4	['Beruf']
Absmeier	90	['Beruf']
Absolon	38	['Rufname']
Abt	1642	['Übername']
Abtmaier	5	['Beruf']
Abtmayr	11	['Beruf']
Abtmeier	36	['Beruf']
Abtmeyer	21	['Beruf']
Abts	197	['Übername']
Acar	890	['Übername', 'Rufname', 'Herkunft']
Acartürk	18	['kompositionelles Motiv']
Acay	11	['Rufname']
Ach	228	['Wohnstätte', 'Übername', 'Herkunft']
Achard	19	['Rufname']
Achatz	1005	['Rufname']
Achatzi	55	['Rufname']
Achatzy	9	['Rufname']
Achaz	12	['Rufname']
Achazi	6	['Rufname']
Achberger	119	['Herkunft']
Ache	170	['Wohnstätte', 'Herkunft']
Achelis	12	['Rufname']
Achen	7	['Herkunft']
Achenbach	1358	['Herkunft']
Acher	78	['Wohnstätte', 'Herkunft']
Achermann	21	['Beruf']
Achhildes	10	['Rufname']
Achhorner	7	['Wohnstätte', 'Herkunft']
Achilles	986	['Rufname']
Achillis	2	['Rufname']
Achim	32	['Rufname', 'Herkunft']
Achleitner	47	['Herkunft', 'Wohnstätte']
Achler	30	['Wohnstätte', 'Beruf']
Achmadov	2	['Rufname']
Achmann	41	['Wohnstätte', 'Beruf']
Achmedov	7	['Rufname']
Achmedow	8	['Rufname']
Achmet	22	['Rufname']
Achmetoff	1	['Rufname']
Achmetov	7	['Rufname']
Achmetow	5	['Rufname']
Achmiller	6	['Beruf']
Achmüller	52	['Beruf', 'Herkunft']
Achner	70	['Wohnstätte']
Achorner	4	['Wohnstätte', 'Herkunft']
Achrainer	20	['Herkunft']
Achs	17	['Beruf']
Achsel	31	['Rufname', 'Übername']
Acht	134	['Übername', 'Beruf', 'Herkunft']
Achtel	37	['Übername', 'Beruf', 'Herkunft']
Achtelig	5	['Übername']
Achtelik	213	['Übername']
Achtellick	1	['Übername']
Achtellik	15	['Übername']
Achten	148	['Rufname', 'Wohnstätte', 'Herkunft']
Achter	282	['Übername', 'Beruf', 'Wohnstätte', 'Herkunft']
Achterberg	459	['Herkunft', 'Wohnstätte']
Achteresch	67	['Wohnstätte']
Achterfeld	61	['Wohnstätte']
Achterfeldt	12	['Wohnstätte']
Achterhoff	12	['Wohnstätte']
Achterhold	7	['Wohnstätte']
Achterholt	54	['Wohnstätte']
Achterhuis	2	['Wohnstätte']
Achterkamp	94	['Wohnstätte']
Achterkerke	5	['Wohnstätte']
Achterkirche	1	['Wohnstätte']
Achterkirchen	1	['Wohnstätte']
Achtermann	201	['Wohnstätte', 'Beruf']
Achtermeier	30	['Beruf', 'Wohnstätte']
Achtermeyer	6	['Beruf', 'Wohnstätte']
Achternbosch	14	['Wohnstätte']
Achternkamp	17	['Wohnstätte']
Achtert	165	['Übername', 'Beruf', 'Wohnstätte']
Achthaler	10	['Wohnstätte', 'Herkunft']
Achtmann	102	['Beruf', 'Übername', 'Wohnstätte']
Achtner	70	['Übername', 'Beruf', 'Herkunft']
Achtzehn	124	['Übername']
Achtzehner	14	['Übername']
Achtzehnter	25	['Übername']
Achtziger	108	['Übername']
Achziger	42	['Übername']
Acikelli	11	['Rufnamenmuster', 'Übername']
Acikgöz	212	['Rufnamenmuster', 'Übername']
Acker	1406	['Wohnstätte', 'Beruf', 'Herkunft']
Ackerbauer	11	['Beruf']
Ackeren	9	['Wohnstätte']
Ackerer	4	['Beruf']
Ackerhans	39	['Rufname']
Ackerknecht	41	['Beruf']
Ackerl	22	['Wohnstätte', 'Beruf']
Ackermaier	1	['Beruf']
Ackerman	12	['Beruf']
Ackermann	8905	['Beruf']
Ackermanns	3	['Beruf']
Ackermans	11	['Beruf']
Ackermeier	41	['Beruf']
Ackern	2	['Wohnstätte']
Ackers	109	['Wohnstätte', 'Beruf']
Ackert	94	['Rufname', 'Wohnstätte', 'Beruf']
Acksel	65	['Rufname', 'Übername']
Acksen	12	['Rufname']
Ada	36	['Rufnamenmuster', 'Wohnstätte', 'Herkunft', 'Rufname']
Adaemmer	1	['Rufname']
Adalbert	21	['Rufname']
Adalberts	4	['Rufname']
Adali	39	['Wohnstätte']
Adam	10574	['Rufname']
Adamakis	7	['Rufname']
Adamaschek	46	['Rufname', 'Beruf', 'Übername']
Adamaszek	29	['Rufname', 'Beruf', 'Übername']
Adamchuk	4	['Rufname']
Adamcyk	9	['Rufname']
Adamczak	227	['Rufname']
Adamczewska	1	['Rufname', 'Herkunft']
Adamczewski	116	['Rufname', 'Herkunft']
Adamczick	5	['Rufname']
Adamczik	26	['Rufname']
Adamczok	3	['Rufname']
Adamczuk	25	['Rufname']
Adamczyck	5	['Rufname']
Adamczyk	737	['Rufname']
Adamec	42	['Rufname']
Adameck	33	['Rufname']
Adamecz	4	['Rufname']
Adameit	56	['Rufname']
Adamek	744	['Rufname']
Adamenko	12	['Rufname']
Adamer	13	['Rufname']
Adames	15	['Rufname']
Adametz	133	['Rufname']
Adamheit	2	['Rufname']
Adamhuber	11	['Beruf']
Adami	379	['Rufname']
Adamiak	61	['Rufname']
Adamicki	2	['Rufname']
Adamidis	56	['Rufname']
Adamidou	10	['Rufname']
Adamiec	55	['Rufname']
Adamietz	414	['Rufname']
Adamik	96	['Rufname']
Adamiok	38	['Rufname']
Adamitz	65	['Rufname']
Adamitzki	15	['Rufname']
Adamke	7	['Rufname']
Adamkewitz	1	['Rufname']
Adamkiewicz	46	['Rufname']
Adamkiewitz	1	['Rufname']
Adamle	4	['Rufname']
Adammek	4	['Rufname']
Adamo	72	['Rufname']
Adamopoulos	17	['Rufname']
Adamopoulou	1	['Rufname']
Adamoschek	7	['Rufname', 'Beruf', 'Übername']
Adamoszek	5	['Rufname', 'Beruf', 'Übername']
Adamov	7	['Rufname']
Adamovic	57	['Rufname']
Adamovich	4	['Rufname']
Adamovsky	22	['Herkunft', 'Rufname']
Adamovskyy	3	['Herkunft']
Adamow	5	['Rufname']
Adamowicz	40	['Rufname']
Adamowitsch	12	['Rufname']
Adamowitz	2	['Rufname']
Adamowska	3	['Herkunft']
Adamowski	55	['Herkunft']
Adamowsky	22	['Herkunft']
Adams	3213	['Rufname']
Adamschak	6	['Rufname']
Adamschewski	20	['Rufname', 'Herkunft']
Adamschik	11	['Rufname']
Adamse	1	['Rufname']
Adamsen	9	['Rufname']
Adamska	10	['Herkunft', 'Rufname']
Adamske	8	['Herkunft', 'Rufname']
Adamski	678	['Herkunft', 'Rufname']
Adamskie	5	['Herkunft', 'Rufname']
Adamsky	93	['Herkunft', 'Rufname']
Adamson	16	['Rufname']
Adamsons	2	['Rufname']
Adamszak	4	['Rufname']
Adamtschik	2	['Rufname']
Adamtschuk	4	['Rufname']
Adamus	140	['Rufname']
Adamy	110	['Rufname']
Adamzent	11	['Rufname']
Adamzick	3	['Rufname']
Adamzig	15	['Rufname']
Adamzik	45	['Rufname']
Adamzyk	17	['Rufname']
Adasch	18	['Rufname']
Adatepe	10	['Herkunft', 'Wohnstätte', 'kompositionelles Motiv']
Adde	1	['Rufname']
Adden	100	['Rufname']
Addens	12	['Rufname']
Addicks	195	['Rufname']
Addiks	5	['Rufname']
Adding	5	['Rufname']
Addix	25	['Rufname']
Addo	46	['Rufname']
Ade	697	['Rufname']
Adebahr	188	['Übername']
Adebar	24	['Übername']
Adel	204	['Rufname', 'Übername']
Adelbert	36	['Rufname']
Adelbrecht	10	['Rufname']
Adeler	10	['Wohnstätte', 'Übername', 'Rufname']
Adelgoss	3	['Rufname']
Adelgoß	21	['Rufname']
Adelhard	22	['Rufname']
Adelhardt	278	['Rufname']
Adelhart	8	['Rufname']
Adelheid	2	['Rufname']
Adelheidt	2	['Rufname']
Adelheit	3	['Rufname']
Adelhelm	106	['Rufname']
Adelhoch	15	['Rufname']
Adeling	13	['Rufname']
Adelmann	678	['Rufname']
Adelmeier	19	['Beruf', 'Rufname']
Adelmeyer	44	['Beruf']
Adelmund	55	['Rufname']
Adels	79	['Rufname']
Adelsheimer	7	['Herkunft']
Adelt	263	['Rufname']
Adelung	37	['Rufname']
Adelwart	34	['Rufname']
Adelwarth	37	['Rufname']
Adem	99	['Rufname']
Adema	4	['Rufname']
Ademaj	60	['Rufname']
Ademeit	23	['Rufname']
Ademi	221	['Rufname']
Aden	637	['Rufname', 'Herkunft']
Adena	69	['Rufname']
Adenau	63	['Herkunft']
Adenauer	65	['Herkunft']
Adeneuer	14	['Herkunft']
Adenäuer	26	['Herkunft']
Aderhold	604	['Rufname', 'Wohnstätte']
Aderholdt	1	['Rufname', 'Wohnstätte']
Aderholt	4	['Rufname', 'Wohnstätte']
Aderholz	36	['Rufname', 'Wohnstätte']
Adibelli	14	['Rufnamenmuster']
Adick	94	['Rufname']
Adickes	57	['Rufname']
Adieck	1	['Rufname']
Adiek	12	['Rufname']
Adigüzel	148	['Rufnamenmuster', 'Herkunft']
Adil	43	['Rufname', 'Übername', 'Rufnamenmuster']
Adiyaman	58	['Herkunft', 'Übername']
Adjei	67	['Rufname']
Adkins	35	['Rufname']
Adlberger	42	['Herkunft']
Adlbert	8	['Rufname']
Adlbrecht	2	['Rufname']
Adleff	40	['Rufname']
Adler	7109	['Wohnstätte', 'Übername', 'Rufname', 'Herkunft']
Adlhard	2	['Rufname']
Adlhardt	4	['Rufname']
Adlhart	9	['Rufname']
Adlhoch	157	['Rufname']
Adling	25	['Rufname']
Adlkirchner	22	['Herkunft']
Adlkofer	33	['Herkunft']
Adlmaier	44	['Beruf']
Adlmann	1	['Rufname']
Adlmayer	3	['Beruf']
Adlmeier	2	['Beruf']
Adlof	3	['Rufname']
Adloff	221	['Rufname']
Adlung	198	['Rufname']
Adlwart	22	['Rufname']
Adlwarth	18	['Rufname']
Adolf	1184	['Rufname']
Adolff	25	['Rufname']
Adolffs	17	['Rufname']
Adolfs	78	['Rufname']
Adolfsen	5	['Rufname']
Adolfsson	3	['Rufname']
Adolph	1570	['Rufname']
Adolphi	113	['Rufname']
Adolphs	462	['Rufname']
Adolphsen	38	['Rufname']
Adolphus	2	['Rufname']
Adolphy	47	['Rufname']
Adomadt	2	['Rufname']
Adomait	1	['Rufname']
Adomaitis	14	['Rufname']
Adomat	339	['Rufname']
Adomatis	13	['Rufname']
Adomatt	1	['Rufname']
Adomeid	1	['Rufname']
Adomeidt	1	['Rufname']
Adomeit	640	['Rufname']
Adomeitis	2	['Rufname']
Adomowski	3	['Herkunft']
Adoms	7	['Rufname']
Adomschent	2	['Rufname']
Adomszent	16	['Rufname']
Adomzent	1	['Rufname']
Adomßent	15	['Rufname']
Adorf	147	['Herkunft']
Adorff	13	['Herkunft']
Adornetto	3	['Übername', 'Beruf']
Adorni	2	['Übername']
Adorno	11	['Übername', 'Beruf']
Adriaans	33	['Rufname']
Adrian	1445	['Rufname']
Adriani	10	['Rufname']
Adriano	12	['Rufname']
Adrians	86	['Rufname']
Adriany	36	['Rufname']
Adrion	160	['Rufname']
Adscheid	22	['Herkunft']
Adsiz	11	['Übername', 'Rufname']
Adu	23	['Rufname']
Advena	17	['Übername']
Adämmer	89	['Rufname']
Aebel	3	['Rufname']
Aeberhard	13	['Rufname']
Aeberhardt	4	['Rufname']
Aeberli	2	['Rufname', 'Übername']
Aeberlien	1	['Rufname', 'Übername']
Aeberlin	12	['Rufname', 'Übername']
Aebert	30	['Rufname']
Aechter	37	['Übername', 'Beruf', 'Herkunft']
Aechtner	73	['Übername', 'Beruf']
Aegerter	54	['Herkunft', 'Wohnstätte']
Aegide	1	['Rufname']
Aegidi	3	['Rufname']
Aegidy	3	['Rufname']
Aelter	6	['Übername', 'Herkunft']
Aeltermann	8	['Beruf', 'Übername']
Aemilius	7	['Rufname']
Aenderl	11	['Rufname']
Aengen-Eyndt	8	['Wohnstätte']
Aengenendt	34	['Wohnstätte']
Aengeneyndt	29	['Wohnstätte']
Aengenheister	47	['Wohnstätte']
Aengenheyster	64	['Wohnstätte']
Aengenoordt	7	['Wohnstätte']
Aengenvoort	68	['Wohnstätte']
Aengenvort	1	['Wohnstätte']
Aepinus	7	['Wohnstätte', 'Rufname']
Aeplinius	2	['Rufname']
Aeppel	2	['Rufname']
Aerne	9	['Rufname']
Aernecke	23	['Rufname']
Aerni	4	['Rufname']
Aerts	44	['Rufname']
Aestel	14	['Beruf', 'Übername']
Aevermann	25	['Herkunft', 'Rufname']
Aevern	4	['Herkunft', 'Rufname']
Aevers	3	['Rufname']
Afacan	28	['Übername']
Affenzeller	11	['Wohnstätte', 'Herkunft']
Afsar	39	['patriotisches Motiv', 'Rufname', 'Herkunft']
Agac	19	['Rufnamenmuster', 'Wohnstätte', 'Beruf']
Agaciak	9	['Rufname']
Agackiran	16	['Beruf']
Agahd	5	['Rufname']
Agata	30	['Rufname']
Agatha	20	['Rufname']
Agather	10	['Rufname']
Agatz	65	['Rufname']
Agca	81	['Übername']
Ageten	1	['Rufname']
Agethen	201	['Rufname']
Agge	28	['Rufname']
Aggesen	4	['Rufname']
Aghte	21	['Rufname']
Aghten	3	['Rufname']
Agirbas	21	['Rufnamenmuster', 'Übername']
Agnes	52	['Rufname']
Agnesen	5	['Rufname']
Agnesens	24	['Rufname']
Agnesmeyer	18	['Beruf']
Agri	15	['Herkunft']
Agricola	104	['Beruf']
Agrikola	27	['Beruf']
Agsten	159	['Rufname', 'Beruf']
Agte	74	['Rufname']
Agten	47	['Rufname']
Agternkamp	12	['Wohnstätte']
Agtha	1	['Rufname']
Agthe	119	['Rufname']
Agyei	11	['Rufname']
Agyeiwaa	1	['Rufname']
Ahl	557	['Beruf', 'Wohnstätte', 'Herkunft', 'Rufname']
Ahlbracht	3	['Rufname']
Ahlbrand	74	['Rufname']
Ahlbrandt	16	['Rufname']
Ahlbrecht	336	['Rufname']
Ahleff	6	['Rufname']
Ahleit	13	['Rufname']
Ahler	120	['Rufname']
Ahlering	56	['Rufname']
Ahlers	3012	['Rufname']
Ahlersmeier	5	['Beruf']
Ahlersmeyer	22	['Beruf']
Ahlert	578	['Rufname']
Ahlf	377	['Rufname']
Ahlfaenger	10	['Beruf']
Ahlff	20	['Rufname']
Ahlfs	50	['Rufname']
Ahlfänger	79	['Beruf']
Ahlgrim	61	['Rufname']
Ahlgrimm	348	['Rufname']
Ahlgrymm	1	['Rufname']
Ahlheid	7	['Rufname']
Ahlheit	43	['Rufname']
Ahlhelm	65	['Rufname']
Ahlhorn	122	['Herkunft']
Ahlke	110	['Rufname']
Ahloff	1	['Rufname']
Ahlreep	3	['Beruf']
Ahlreib	1	['Beruf']
Ahlreip	12	['Beruf']
Ahlrep	22	['Beruf']
Ahlschwede	18	['Herkunft']
Ahlschwedt	7	['Herkunft']
Ahlswe	27	['Herkunft']
Ahlswede	139	['Herkunft']
Ahlswehde	7	['Herkunft']
Ahlwardt	8	['Rufname']
Ahlwarth	12	['Rufname']
Ahmad	994	['Rufname']
Ahmadi	291	['Rufname']
Ahmadian	17	['Rufname']
Ahmady	12	['Rufname']
Ahmadzadeh	10	['Rufname']
Ahmed	791	['Rufname']
Ahmedov	7	['Rufname']
Ahmedow	3	['Rufname']
Ahmet	245	['Rufname']
Ahmetaj	51	['Rufname']
Ahmeti	142	['Rufname']
Ahmetoglu	16	['Rufname']
Ahmetov	3	['Rufname']
Ahmetovic	82	['Rufname']
Ahnesorg	1	['Übername']
Ahnhudt	2	['Rufname', 'Beruf']
Ahnhut	1	['Rufname']
Ahnsorge	16	['Übername']
Ahorn	30	['Wohnstätte', 'Herkunft']
Ahorner	30	['Wohnstätte', 'Herkunft']
Ahrend	601	['Rufname']
Ahrends	255	['Rufname']
Ahrendsen	19	['Rufname']
Ahrendt	840	['Rufname']
Ahrendts	19	['Rufname']
Ahrendtsen	5	['Rufname']
Ahrendtz	2	['Rufname']
Ahrenhold	57	['Rufname']
Ahrenholt	1	['Rufname']
Ahrenholtz	45	['Rufname', 'Herkunft']
Ahrenholz	74	['Rufname', 'Herkunft']
Ahrens	8003	['Rufname']
Ahrensmaier	1	['Beruf']
Ahrensmeier	45	['Beruf']
Ahrensmeyer	12	['Beruf']
Ahrent	38	['Rufname']
Ahrentzen	2	['Rufname']
Ahrenz	11	['Rufname']
Ahrnd	1	['Rufname']
Ahrndsen	14	['Rufname']
Ahrndt	95	['Rufname']
Ahrndts	1	['Rufname']
Ahrns	18	['Rufname']
Ahrnsen	20	['Rufname']
Ahrnt	2	['Rufname']
Ahrweiler	196	['Herkunft']
Aich	180	['Wohnstätte', 'Herkunft']
Aichberger	36	['Herkunft', 'Wohnstätte']
Aichbichler	5	['Herkunft', 'Wohnstätte']
Aichelberger	12	['Herkunft', 'Wohnstätte']
Aichele	607	['Wohnstätte', 'Rufname']
Aicheler	91	['Wohnstätte', 'Beruf']
Aichelmann	30	['Beruf', 'Wohnstätte', 'Rufname']
Aicher	828	['Wohnstätte', 'Herkunft', 'Beruf']
Aichhammer	6	['Herkunft']
Aichholz	55	['Wohnstätte', 'Herkunft']
Aichholzer	33	['Wohnstätte', 'Herkunft']
Aichhorn	13	['Übername', 'Wohnstätte', 'Herkunft']
Aichhölzer	1	['Wohnstätte', 'Herkunft']
Aichinger	384	['Herkunft']
Aichler	25	['Wohnstätte', 'Beruf']
Aichmaier	1	['Beruf']
Aichmair	3	['Beruf']
Aichmann	17	['Wohnstätte', 'Herkunft']
Aichmayr	4	['Beruf']
Aichmeier	6	['Beruf']
Aichmeyer	2	['Beruf']
Aichmüller	11	['Beruf', 'Herkunft']
Aichner	158	['Wohnstätte', 'Herkunft', 'Beruf']
Aidam	10	['Übername']
Aierstock	48	['Wohnstätte']
Aierstok	1	['Wohnstätte']
Aigen	11	['Übername', 'Wohnstätte', 'Herkunft']
Aigenherr	2	['Übername']
Aigenmann	10	['Übername']
Aign	26	['Übername']
Aigner	2626	['Übername', 'Herkunft', 'Wohnstätte']
Aignherr	1	['Übername']
Aiken	13	['Rufname']
Aikens	19	['Rufname']
Aistleithner	1	['Wohnstätte']
Aistleitner	13	['Wohnstätte']
Aitken	11	['Rufname']
Ak	275	['Rufnamenmuster']
Akalin	68	['Rufnamenmuster']
Akar	264	['Rufnamenmuster', 'Wohnstätte']
Akarcay	18	['Rufnamenmuster', 'Wohnstätte']
Akarpinar	13	['Wohnstätte']
Akarsu	83	['Rufnamenmuster', 'Wohnstätte']
Akay	155	['kompositionelles Motiv', 'Rufname']
Akaydin	13	['kompositionelles Motiv']
Akbaba	185	['Übername', 'Rufnamenmuster', 'Rufname']
Akbal	33	['kompositionelles Motiv']
Akbalik	17	['Rufnamenmuster', 'Beruf', 'kompositionelles Motiv', 'Rufname']
Akbas	265	['Übername', 'Rufnamenmuster', 'Herkunft', 'Rufname', 'kompositionelles Motiv']
Akbay	47	['kompositionelles Motiv', 'Rufname']
Akbayir	18	['kompositionelles Motiv', 'Wohnstätte']
Akbayrak	22	['kompositionelles Motiv']
Akbiyik	42	['Übername', 'Rufname']
Akbudak	22	['kompositionelles Motiv']
Akbulut	394	['kompositionelles Motiv', 'Herkunft']
Akca	203	['Übername', 'Herkunft']
Akcakaya	36	['Wohnstätte', 'kompositionelles Motiv', 'Herkunft']
Akcakoca	14	['kompositionelles Motiv', 'Rufname']
Akcan	109	['kompositionelles Motiv', 'Herkunft']
Akcay	303	['Wohnstätte', 'Rufnamenmuster', 'Herkunft']
Akcetin	10	['kompositionelles Motiv']
Akcicek	23	['kompositionelles Motiv']
Akdag	185	['Wohnstätte', 'Herkunft', 'Rufnamenmuster']
Akdas	43	['kompositionelles Motiv']
Akdemir	211	['kompositionelles Motiv']
Akdeniz	231	['Herkunft']
Akdere	20	['kompositionelles Motiv', 'Herkunft']
Akdogan	180	['Rufnamenmuster', 'kompositionelles Motiv']
Akduman	40	['kompositionelles Motiv']
Akermann	81	['Beruf']
Akgöl	10	['kompositionelles Motiv', 'Wohnstätte']
Akgöz	28	['Übername', 'Herkunft']
Akgüc	21	['kompositionelles Motiv']
Akgül	319	['kompositionelles Motiv']
Akgün	288	['kompositionelles Motiv']
Akgündüz	14	['kompositionelles Motiv']
Akhmedov	2	['Rufname']
Akhmetov	3	['Rufname']
Akhtar	92	['Rufname']
Akhter	12	['Rufname']
Akilli	27	['Rufnamenmuster']
Akin	491	['Rufnamenmuster', 'Beruf', 'Rufname']
Akinci	151	['Beruf']
Akkas	60	['Übername']
Akkasoglu	11	['Übername']
Akkaya	388	['Wohnstätte', 'kompositionelles Motiv', 'Herkunft']
Akkerman	27	['Beruf']
Akkermann	394	['Beruf', 'Übername']
Akkermans	7	['Beruf']
Akkilic	13	['kompositionelles Motiv']
Akkoc	68	['kompositionelles Motiv', 'Herkunft']
Akkoca	11	['kompositionelles Motiv', 'Herkunft']
Akkoyun	70	['kompositionelles Motiv']
Akkoyunlu	11	['patriotisches Motiv', 'Herkunft']
Akkurt	75	['kompositionelles Motiv']
Akkus	288	['Rufnamenmuster', 'Rufname']
Akman	239	['Rufnamenmuster', 'Rufname']
Akpinar	246	['kompositionelles Motiv', 'Herkunft']
Akpolat	39	['kompositionelles Motiv']
Aksahin	26	['kompositionelles Motiv']
Aksakal	66	['Übername']
Aksakalli	10	['Übername']
Akseki	10	['Herkunft', 'Wohnstätte']
Aksoy	714	['kompositionelles Motiv']
Aksu	445	['kompositionelles Motiv', 'Herkunft', 'Übername']
Aktas	808	['kompositionelles Motiv', 'Herkunft', 'Rufname']
Aktay	30	['Rufnamenmuster', 'Rufname']
Aktekin	12	['kompositionelles Motiv']
Aktepe	44	['kompositionelles Motiv', 'Wohnstätte', 'Herkunft']
Aktoprak	10	['Wohnstätte', 'kompositionelles Motiv', 'Beruf']
Aktürk	161	['kompositionelles Motiv']
